,target,slct_method,feature_count,c,cv_score,op_hyperparameters,train_accuracy,test_accuracy,auc,f1,precision,recall,coef_pcps,coef_blink,coef_perf,coef_tct_cycle,coef_training,coef_CC,coef_DC,coef_PR,sel_pcps,sel_blink,sel_perf,sel_tct_cycle,sel_training,sel_CC,sel_DC,sel_PR
104,cluster_2,K-Best,8,0.7,0.6404761904761905,{'base_model__C': 0.7},0.6984126984126984,0.5925925925925926,0.6235294117647059,0.5714285714285714,0.5710227272727273,0.5735294117647058,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,1,1,1,1,1,1,1,1
105,cluster_3,K-Best,1,4.0,0.5166666666666666,{'base_model__C': 4},0.5555555555555556,0.5185185185185185,0.5109154326066091,0.3505747126436782,0.3903508771929824,0.3916666666666666,0.2414204447781079,0.0106704439038587,-0.0281632868784384,-0.0798111517480606,0.0412151360336885,-0.0973003554096571,-0.1447647825883533,0.2420651379980096,0,0,0,1,0,0,0,0
106,cluster_3,K-Best,2,4.0,0.5642857142857143,{'base_model__C': 4},0.5873015873015873,0.7037037037037037,0.5664395653366241,0.4654282765737874,0.4629629629629629,0.4708333333333334,0.2414204447781079,0.0106704439038587,-0.0281632868784384,-0.0798111517480606,0.0412151360336885,-0.0973003554096571,-0.1447647825883533,0.2420651379980096,0,0,0,1,0,1,1,0
107,cluster_3,K-Best,3,3.0,0.5904761904761904,{'base_model__C': 3},0.5873015873015873,0.7037037037037037,0.4167515082956259,0.4654282765737874,0.4629629629629629,0.4708333333333334,0.2414204447781079,0.0106704439038587,-0.0281632868784384,-0.0798111517480606,0.0412151360336885,-0.0973003554096571,-0.1447647825883533,0.2420651379980096,0,0,0,1,0,1,1,0
108,cluster_3,K-Best,4,10.0,0.5642857142857143,{'base_model__C': 10},0.6666666666666666,0.5925925925925926,0.7690216646098998,0.402659069325736,0.4235294117647059,0.4333333333333333,0.2414204447781079,0.0106704439038587,-0.0281632868784384,-0.0798111517480606,0.0412151360336885,-0.0973003554096571,-0.1447647825883533,0.2420651379980096,0,0,1,1,1,1,1,0
109,cluster_3,K-Best,5,0.8,0.5619047619047619,{'base_model__C': 0.8},0.5873015873015873,0.7037037037037037,0.5352409845056904,0.4654282765737874,0.4629629629629629,0.4708333333333334,0.2414204447781079,0.0106704439038587,-0.0281632868784384,-0.0798111517480606,0.0412151360336885,-0.0973003554096571,-0.1447647825883533,0.2420651379980096,0,1,0,1,1,1,1,1
110,cluster_3,K-Best,6,7.0,0.5714285714285714,{'base_model__C': 7},0.7142857142857143,0.6296296296296297,0.7868675442204854,0.7373737373737373,0.7380952380952381,0.7416666666666667,0.2414204447781079,0.0106704439038587,-0.0281632868784384,-0.0798111517480606,0.0412151360336885,-0.0973003554096571,-0.1447647825883533,0.2420651379980096,0,1,1,1,1,1,1,0
111,cluster_3,K-Best,7,2.0,0.5452380952380953,{'base_model__C': 2},0.6190476190476191,0.6296296296296297,0.7966046208693268,0.4251207729468598,0.4175824175824176,0.4416666666666666,0.2414204447781079,0.0106704439038587,-0.0281632868784384,-0.0798111517480606,0.0412151360336885,-0.0973003554096571,-0.1447647825883533,0.2420651379980096,0,1,1,1,1,1,1,1
112,cluster_3,K-Best,8,0.5,0.4976190476190476,{'base_model__C': 0.5},0.6666666666666666,0.5555555555555556,0.7197106814753873,0.3739130434782609,0.3681318681318681,0.3875,0.2414204447781079,0.0106704439038587,-0.0281632868784384,-0.0798111517480606,0.0412151360336885,-0.0973003554096571,-0.1447647825883533,0.2420651379980096,1,1,1,1,1,1,1,1
113,cluster_4,K-Best,1,0.8,0.3976190476190476,{'base_model__C': 0.8},0.3809523809523809,0.5555555555555556,0.4570341614906832,0.1785714285714285,0.1388888888888889,0.25,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,0,0,0,0,0,0,1
114,cluster_4,K-Best,2,0.7,0.3976190476190476,{'base_model__C': 0.7},0.4126984126984127,0.4074074074074074,0.5207539682539682,0.2290322580645161,0.1931818181818181,0.3208333333333333,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,0,0,0,0,1,1,1
115,cluster_4,K-Best,3,0.5,0.3976190476190476,{'base_model__C': 0.5},0.4126984126984127,0.4074074074074074,0.4949603174603175,0.2290322580645161,0.1931818181818181,0.3208333333333333,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,0,0,0,0,1,1,1
116,cluster_4,K-Best,4,0.6,0.4119047619047619,{'base_model__C': 0.6},0.4603174603174603,0.4074074074074074,0.5711180124223603,0.2831896551724138,0.3181818181818182,0.3458333333333333,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,1,0,0,0,1,1,1
117,cluster_4,K-Best,5,0.6,0.4595238095238095,{'base_model__C': 0.6},0.5238095238095238,0.4814814814814814,0.3664751552795031,0.2222222222222222,0.2261904761904761,0.2416666666666666,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,1,1,1,1,0,0,0,1
118,cluster_4,K-Best,6,1.0,0.4404761904761904,{'base_model__C': 1},0.5555555555555556,0.4444444444444444,0.3976173222912353,0.2083333333333333,0.2142857142857143,0.2249999999999999,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,1,1,0,1,1,1,1,1
119,cluster_4,K-Best,7,0.9,0.4571428571428571,{'base_model__C': 0.9},0.5396825396825397,0.4444444444444444,0.426923740510697,0.2083333333333333,0.2142857142857143,0.2249999999999999,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,1,1,0,1,1,1,1,1
120,cluster_4,K-Best,8,0.5,0.4547619047619047,{'base_model__C': 0.5},0.5714285714285714,0.4074074074074074,0.3877639751552795,0.1944444444444444,0.2023809523809523,0.2083333333333333,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,1,1,1,1,1,1,1,1
121,hist_4,K-Best,1,0.5,0.5928571428571429,{'base_model__C': 0.5},0.5873015873015873,0.6296296296296297,0.5871307369101487,0.1931818181818181,0.1574074074074074,0.25,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,0,0,0,0,0,0,1
122,hist_4,K-Best,2,0.9,0.5928571428571429,{'base_model__C': 0.9},0.5873015873015873,0.6296296296296297,0.613774240465417,0.1931818181818181,0.1574074074074074,0.25,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,0,0,0,1,0,0,1
123,hist_4,K-Best,3,4.0,0.5928571428571429,{'base_model__C': 4},0.6190476190476191,0.6666666666666666,0.5989600840336134,0.369047619047619,0.295,0.5,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,0,0,1,1,0,0,1
